match_id,match_won_by,toss_winner,toss_decision,venue,team1,team2
548356,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Deccan Chargers,Royal Challengers Bangalore
548357,Kolkata Knight Riders,Delhi Daredevils,bat,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders
548358,Rajasthan Royals,Pune Warriors,bat,Subrata Roy Sahara Stadium,Pune Warriors,Rajasthan Royals
548359,Kings XI Punjab,Deccan Chargers,field,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,Deccan Chargers
548360,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore
548329,Delhi Daredevils,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils
548361,Chennai Super Kings,Chennai Super Kings,field,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings
548362,Royal Challengers Bangalore,Pune Warriors,field,Subrata Roy Sahara Stadium,Royal Challengers Bangalore,Pune Warriors
548363,Mumbai Indians,Mumbai Indians,bat,Eden Gardens,Mumbai Indians,Kolkata Knight Riders
548364,Chennai Super Kings,Chennai Super Kings,field,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,Chennai Super Kings
548365,Rajasthan Royals,Rajasthan Royals,bat,Sawai Mansingh Stadium,Rajasthan Royals,Pune Warriors
548366,Kings XI Punjab,Deccan Chargers,bat,"Punjab Cricket Association Stadium, Mohali",Deccan Chargers,Kings XI Punjab
548367,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians
548368,Chennai Super Kings,Chennai Super Kings,field,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings
548369,Delhi Daredevils,Kings XI Punjab,bat,Feroz Shah Kotla,Kings XI Punjab,Delhi Daredevils
548370,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
548371,Kings XI Punjab,Kings XI Punjab,field,Himachal Pradesh Cricket Association Stadium,Chennai Super Kings,Kings XI Punjab
548372,Royal Challengers Bangalore,Delhi Daredevils,field,Feroz Shah Kotla,Royal Challengers Bangalore,Delhi Daredevils
548373,Deccan Chargers,Rajasthan Royals,bat,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,Deccan Chargers
548374,Delhi Daredevils,Delhi Daredevils,field,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Delhi Daredevils
548375,Kolkata Knight Riders,Kolkata Knight Riders,bat,Subrata Roy Sahara Stadium,Kolkata Knight Riders,Pune Warriors
548376,Deccan Chargers,Royal Challengers Bangalore,field,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Royal Challengers Bangalore
548377,Mumbai Indians,Rajasthan Royals,bat,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians
548378,Kolkata Knight Riders,Kolkata Knight Riders,bat,Subrata Roy Sahara Stadium,Kolkata Knight Riders,Delhi Daredevils
548379,Chennai Super Kings,Mumbai Indians,field,M Chinnaswamy Stadium,Chennai Super Kings,Mumbai Indians
548380,Chennai Super Kings,Delhi Daredevils,field,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils
548381,Kolkata Knight Riders,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders
597998,Kolkata Knight Riders,Kolkata Knight Riders,field,Eden Gardens,Delhi Daredevils,Kolkata Knight Riders
597999,Royal Challengers Bangalore,Mumbai Indians,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians
598000,Sunrisers Hyderabad,Pune Warriors,field,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Pune Warriors
598001,Rajasthan Royals,Rajasthan Royals,bat,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils
598002,Mumbai Indians,Mumbai Indians,bat,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,Chennai Super Kings
598003,Kings XI Punjab,Pune Warriors,bat,Subrata Roy Sahara Stadium,Pune Warriors,Kings XI Punjab
598004,Unknown,Royal Challengers Bangalore,bat,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Sunrisers Hyderabad
598005,Rajasthan Royals,Kolkata Knight Riders,field,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders
598006,Mumbai Indians,Mumbai Indians,bat,Wankhede Stadium,Mumbai Indians,Delhi Daredevils
598048,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore
598007,Chennai Super Kings,Chennai Super Kings,field,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings
